GVTREGN,shared,shared_deposit,year
92000001,24235,12005,"1415"
112000008,26565,12678,"1415"
112000007,33346,16254,"1415"
112000006,25133,12134,"1415"
112000009,22162,10495,"1415"
112000005,20074,9579,"1415"
112000004,19901,9632,"1415"
112000003,18063,8780,"1415"
112000002,19219,9499,"1415"
112000001,20699,9983,"1415"
92000001,22618,11109,"1314"
112000008,24615,11597,"1314"
112000007,28660,13657,"1314"
112000006,23164,11043,"1314"
112000009,20415,9527,"1314"
112000005,18779,8862,"1314"
112000004,18627,8925,"1314"
112000003,16972,8175,"1314"
112000002,18343,9014,"1314"
112000001,19374,9249,"1314"